================ Training Loss (Tue Apr  2 12:30:15 2024) ================
(epoch: 8, iters: 200, time: 0.126, data: 0.001) D_A: 0.121 G_A: 0.460 cycle_A: 0.641 idt_A: 0.535 D_B: 0.105 G_B: 0.967 cycle_B: 1.188 idt_B: 0.195 
(epoch: 8, iters: 300, time: 0.127, data: 0.001) D_A: 0.185 G_A: 0.259 cycle_A: 1.776 idt_A: 0.406 D_B: 0.126 G_B: 0.592 cycle_B: 1.806 idt_B: 0.316 
(epoch: 8, iters: 400, time: 0.315, data: 0.001) D_A: 0.102 G_A: 0.126 cycle_A: 1.101 idt_A: 0.477 D_B: 0.181 G_B: 0.257 cycle_B: 1.130 idt_B: 0.520 
(epoch: 9, iters: 100, time: 0.128, data: 0.202) D_A: 0.165 G_A: 1.049 cycle_A: 0.430 idt_A: 0.418 D_B: 0.133 G_B: 0.258 cycle_B: 1.016 idt_B: 0.151 
(epoch: 9, iters: 200, time: 0.128, data: 0.001) D_A: 0.176 G_A: 0.435 cycle_A: 0.640 idt_A: 0.413 D_B: 0.097 G_B: 0.576 cycle_B: 0.957 idt_B: 0.287 
(epoch: 9, iters: 300, time: 0.127, data: 0.001) D_A: 0.151 G_A: 0.751 cycle_A: 0.452 idt_A: 0.326 D_B: 0.146 G_B: 0.308 cycle_B: 0.783 idt_B: 0.220 
(epoch: 9, iters: 400, time: 0.332, data: 0.001) D_A: 0.206 G_A: 0.242 cycle_A: 0.483 idt_A: 0.390 D_B: 0.110 G_B: 0.177 cycle_B: 0.885 idt_B: 0.221 
(epoch: 10, iters: 100, time: 0.127, data: 0.185) D_A: 0.303 G_A: 0.402 cycle_A: 0.960 idt_A: 0.335 D_B: 0.248 G_B: 0.155 cycle_B: 0.707 idt_B: 0.249 
(epoch: 10, iters: 200, time: 0.127, data: 0.001) D_A: 0.120 G_A: 0.501 cycle_A: 0.774 idt_A: 0.373 D_B: 0.280 G_B: 0.702 cycle_B: 0.858 idt_B: 0.126 
(epoch: 10, iters: 300, time: 0.127, data: 0.001) D_A: 0.136 G_A: 0.179 cycle_A: 0.441 idt_A: 0.380 D_B: 0.214 G_B: 0.332 cycle_B: 0.864 idt_B: 0.383 
(epoch: 10, iters: 400, time: 0.338, data: 0.001) D_A: 0.136 G_A: 0.373 cycle_A: 0.517 idt_A: 0.382 D_B: 0.422 G_B: 0.666 cycle_B: 1.033 idt_B: 0.332 
